"character","action","frame","hitbox_1_status","hitbox_1_size","hitbox_1_x","hitbox_1_y","hitbox_2_status","hitbox_2_size","hitbox_2_x","hitbox_2_y","hitbox_3_status","hitbox_3_size","hitbox_3_x","hitbox_3_y","hitbox_4_status","hitbox_4_size","hitbox_4_x","hitbox_4_y","locomotion_x","locomotion_y","iasa","facing_changed","projectile"
22,44,1,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,44,2,"True",3.5153999329,5.7484931946,6.9592691826,"True",3.5153999329,7.4789886475,10.4514571594,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,44,3,"True",3.5153999329,17.7990608215,9.3368321823,"True",3.5153999329,10.3106994629,8.8969365524,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,44,4,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,44,5,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,44,6,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,7,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,8,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,9,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,10,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,11,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,12,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,13,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,14,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,15,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,16,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,44,17,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,1,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,45,2,"True",3.5153999329,10.558095932,8.0559569763,"True",3.5153999329,2.9527587891,7.0144535469,"False",0,0,0,"False",0,0,0,3.8499984741,0,"False","False","False"
22,45,3,"True",3.5153999329,9.4335021973,8.1023446487,"True",3.5153999329,3.0031166077,7.1169668602,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,45,4,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,45,5,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,45,6,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,45,7,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"False","False","False"
22,45,8,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,9,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,10,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,11,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,12,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,13,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,14,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,15,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,16,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,17,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,18,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
22,45,19,"False",0,0,0,"False",0,0,0,"False",0,0,0,"False",0,0,0,0,0,"True","False","False"
